Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -278577.118  -278577.118        0.000     0.0
0.0010      -278577.106  -278577.232        0.126     7.1
0.0020      -278577.112  -278577.573        0.462    25.9
0.0030      -278577.135  -278578.132        0.996    55.9
0.0040      -278577.147  -278578.916        1.769    99.1
0.0050      -278577.211  -278579.901        2.690   150.8
0.0060      -278577.254  -278581.011        3.757   210.6
0.0070      -278577.286  -278582.064        4.778   267.9
0.0080      -278577.327  -278582.739        5.412   303.4
0.0090      -278577.380  -278582.683        5.303   297.3
0.0100      -278577.301  -278581.943        4.641   260.2
0.0110      -278577.204  -278581.426        4.223   236.7
0.0120      -278577.201  -278582.206        5.005   280.6
0.0130      -278577.312  -278583.971        6.659   373.3
0.0140      -278577.255  -278585.534        8.279   464.1
0.0150      -278577.217  -278586.334        9.117   511.1
0.0160      -278577.211  -278586.518        9.307   521.7
0.0170      -278577.133  -278586.443        9.310   521.9
0.0180      -278577.211  -278586.292        9.081   509.1
0.0190      -278577.177  -278586.153        8.976   503.2
0.0200      -278577.302  -278586.068        8.766   491.4
0.0210      -278577.245  -278586.033        8.787   492.6
0.0220      -278577.299  -278586.037        8.738   489.9
0.0230      -278577.360  -278586.121        8.761   491.1
0.0240      -278577.398  -278586.253        8.855   496.4
0.0250      -278577.433  -278586.430        8.997   504.4
0.0260      -278577.437  -278586.635        9.198   515.6
0.0270      -278577.292  -278586.850        9.558   535.8
0.0280      -278577.266  -278587.102        9.836   551.4
0.0290      -278577.299  -278587.488       10.189   571.2
0.0300      -278577.283  -278587.883       10.600   594.2
0.0310      -278577.173  -278588.241       11.067   620.4
0.0320      -278577.168  -278588.726       11.558   648.0
0.0330      -278577.298  -278589.384       12.086   677.6
0.0340      -278577.369  -278589.969       12.600   706.4
0.0350      -278577.305  -278590.463       13.159   737.7
0.0360      -278577.318  -278591.065       13.748   770.7
0.0370      -278577.328  -278591.609       14.281   800.6
0.0380      -278577.221  -278592.107       14.886   834.5
0.0390      -278577.332  -278592.854       15.521   870.1
0.0400      -278577.420  -278593.508       16.089   902.0
0.0410      -278577.360  -278593.745       16.385   918.5
0.0420      -278577.393  -278593.914       16.521   926.2
0.0430      -278577.659  -278593.900       16.241   910.5
0.0440      -278577.463  -278592.883       15.420   864.5
0.0450      -278577.372  -278591.285       13.913   780.0
0.0460      -278577.417  -278589.191       11.774   660.1
0.0470      -278577.366  -278586.954        9.588   537.5
0.0480      -278577.266  -278585.549        8.282   464.3
0.0490      -278577.365  -278586.023        8.659   485.4
0.0500      -278577.431  -278588.012       10.581   593.2
0.0510      -278577.381  -278590.513       13.132   736.2
0.0520      -278577.628  -278592.924       15.296   857.5
0.0530      -278577.639  -278594.402       16.763   939.7
0.0540      -278577.564  -278595.045       17.480   980.0
0.0550      -278577.632  -278595.199       17.567   984.8
0.0560      -278577.581  -278595.074       17.493   980.7
0.0570      -278577.638  -278594.796       17.159   961.9
0.0580      -278577.516  -278594.298       16.781   940.8
0.0590      -278577.631  -278593.921       16.291   913.3
0.0600      -278577.713  -278593.654       15.941   893.7
0.0610      -278577.606  -278593.175       15.569   872.8
0.0620      -278577.566  -278592.731       15.165   850.1
0.0630      -278577.666  -278592.544       14.878   834.1
0.0640      -278577.722  -278592.381       14.659   821.8
0.0650      -278577.803  -278592.217       14.414   808.1
0.0660      -278577.700  -278591.888       14.188   795.4
0.0670      -278577.619  -278591.653       14.034   786.8
0.0680      -278577.689  -278591.545       13.856   776.8
0.0690      -278577.604  -278591.269       13.664   766.0
0.0700      -278577.804  -278591.258       13.454   754.3
0.0710      -278577.855  -278591.000       13.144   736.9
0.0720      -278577.730  -278590.545       12.815   718.4
0.0730      -278577.585  -278589.936       12.351   692.4
0.0740      -278577.594  -278589.308       11.714   656.7
0.0750      -278577.802  -278588.695       10.893   610.7
0.0760      -278577.751  -278587.698        9.947   557.7
0.0770      -278577.490  -278586.415        8.925   500.3
0.0780      -278577.593  -278585.418        7.825   438.7
0.0790      -278577.708  -278584.536        6.828   382.8
0.0800      -278577.639  -278583.474        5.835   327.1
0.0810      -278577.447  -278582.475        5.028   281.9
0.0820      -278577.632  -278582.031        4.399   246.6
0.0830      -278577.665  -278581.642        3.977   223.0
0.0840      -278577.623  -278581.368        3.745   209.9
0.0850      -278577.572  -278581.305        3.733   209.3
0.0860      -278577.686  -278581.537        3.850   215.9
0.0870      -278577.793  -278581.811        4.018   225.2
0.0880      -278577.659  -278581.990        4.331   242.8
0.0890      -278577.633  -278582.309        4.676   262.1
0.0900      -278577.630  -278582.754        5.124   287.3
0.0910      -278577.732  -278583.298        5.566   312.0
0.0920      -278577.764  -278583.819        6.056   339.5
0.0930      -278577.678  -278584.299        6.621   371.2
0.0940      -278577.509  -278584.712        7.203   403.8
0.0950      -278577.665  -278585.530        7.865   440.9
0.0960      -278577.713  -278586.206        8.493   476.1
0.0970      -278577.742  -278586.850        9.108   510.6
0.0980      -278577.836  -278587.551        9.715   544.6
0.0990      -278577.642  -278588.009       10.367   581.2
0.1000      -278577.578  -278588.478       10.899   611.0
0.1010      -278577.444  -278588.849       11.406   639.4
0.1020      -278577.509  -278589.435       11.926   668.6
0.1030      -278577.683  -278590.042       12.359   692.8
0.1040      -278577.657  -278590.437       12.780   716.4
0.1050      -278577.687  -278590.778       13.090   733.8
0.1060      -278577.896  -278591.247       13.351   748.5
0.1070      -278578.008  -278591.670       13.662   765.9
0.1080      -278577.683  -278591.788       14.105   790.7
0.1090      -278577.896  -278592.272       14.377   806.0
