      Step     Time          Energy          fmax
FIRE:    0 21:50:17   -30916.409227         2.173640
FIRE:    1 21:50:50   -30916.731141         2.033361
FIRE:    2 21:51:25   -30917.294990         1.766001
FIRE:    3 21:51:58   -30917.968060         1.518845
FIRE:    4 21:52:29   -30918.594815         1.199789
FIRE:    5 21:52:48   -30918.980091         0.847236
FIRE:    6 21:53:08   -30919.052617         0.877973
FIRE:    7 21:53:29   -30919.060034         0.838957
FIRE:    8 21:53:49   -30919.073504         0.763057
FIRE:    9 21:54:09   -30919.090591         0.654590
FIRE:   10 21:54:30   -30919.108316         0.520556
FIRE:   11 21:54:48   -30919.123795         0.371227
FIRE:   12 21:55:09   -30919.134871         0.224952
FIRE:   13 21:55:33   -30919.140686         0.156888
FIRE:   14 21:55:55   -30919.141975         0.191463
FIRE:   15 21:56:17   -30919.142169         0.188407
FIRE:   16 21:56:39   -30919.142544         0.182379
FIRE:   17 21:57:02   -30919.143077         0.173556
FIRE:   18 21:57:24   -30919.143733         0.162205
FIRE:   19 21:57:46   -30919.144473         0.148696
FIRE:   20 21:58:09   -30919.145252         0.133507
FIRE:   21 21:58:34   -30919.146026         0.117232
FIRE:   22 21:58:57   -30919.146828         0.098885
FIRE:   23 21:59:20   -30919.147597         0.079583
FIRE:   24 21:59:43   -30919.148265         0.068505
FIRE:   25 22:00:06   -30919.148780         0.062107
FIRE:   26 22:00:29   -30919.149146         0.085640
FIRE:   27 22:00:53   -30919.149441         0.108224
FIRE:   28 22:01:16   -30919.149783         0.122194
FIRE:   29 22:01:40   -30919.150278         0.123422
FIRE:   30 22:02:04   -30919.150958         0.108906
FIRE:   31 22:02:28   -30919.151728         0.077268
FIRE:   32 22:02:51   -30919.152371         0.046891
FIRE:   33 22:03:14   -30919.152673         0.053001
FIRE:   34 22:03:37   -30919.152652         0.069879
FIRE:   35 22:04:00   -30919.152702         0.066240
FIRE:   36 22:04:23   -30919.152791         0.059167
FIRE:   37 22:04:46   -30919.152904         0.049062
FIRE:   38 22:05:10   -30919.153020         0.036513
FIRE:   39 22:05:33   -30919.153119         0.024921
