      Step     Time          Energy          fmax
FIRE:    0 13:16:29   -30914.141639         3.357650
FIRE:    1 13:18:33   -30914.522445         3.134021
FIRE:    2 13:20:23   -30915.162508         2.711181
FIRE:    3 13:22:06   -30915.862858         2.306211
FIRE:    4 13:23:49   -30916.456603         2.076168
FIRE:    5 13:25:33   -30916.873191         1.611450
FIRE:    6 13:27:14   -30917.070317         1.573245
FIRE:    7 13:28:57   -30917.091462         1.478476
FIRE:    8 13:30:38   -30917.129222         1.299406
FIRE:    9 13:32:19   -30917.175980         1.054960
FIRE:   10 13:34:08   -30917.223352         0.772015
FIRE:   11 13:35:52   -30917.264561         0.490885
FIRE:   12 13:37:36   -30917.296206         0.454207
FIRE:   13 13:39:16   -30917.318756         0.500643
FIRE:   14 13:40:54   -30917.336674         0.498872
FIRE:   15 13:42:33   -30917.352369         0.602892
FIRE:   16 13:44:11   -30917.368089         0.650819
FIRE:   17 13:45:50   -30917.384218         0.610110
FIRE:   18 13:47:28   -30917.399268         0.492140
FIRE:   19 13:49:10   -30917.411595         0.506406
FIRE:   20 13:50:48   -30917.419083         0.416996
FIRE:   21 13:52:27   -30917.420696         0.392941
FIRE:   22 13:54:06   -30917.423620         0.346444
FIRE:   23 13:55:45   -30917.427334         0.280744
FIRE:   24 13:57:24   -30917.431221         0.206392
FIRE:   25 13:59:11   -30917.434738         0.164312
FIRE:   26 14:01:20   -30917.437553         0.164003
FIRE:   27 14:03:23   -30917.439640         0.177509
FIRE:   28 14:05:30   -30917.441355         0.192718
