      Step     Time          Energy          fmax
FIRE:    0 09:49:08   -30980.295496         1.873501
FIRE:    1 09:50:05   -30980.386295         1.726557
FIRE:    2 09:50:35   -30980.533653         1.442447
FIRE:    3 09:51:08   -30980.687744         1.078028
FIRE:    4 09:51:35   -30980.802345         0.762728
FIRE:    5 09:52:03   -30980.851948         0.843784
FIRE:    6 09:52:31   -30980.860342         1.056088
FIRE:    7 09:52:59   -30980.867244         1.018152
FIRE:    8 09:53:27   -30980.880012         0.943655
FIRE:    9 09:53:53   -30980.896740         0.835650
FIRE:   10 09:54:20   -30980.914990         0.701213
FIRE:   11 09:54:54   -30980.932270         0.549872
FIRE:   12 09:55:33   -30980.946511         0.395299
FIRE:   13 09:56:07   -30980.956518         0.260383
FIRE:   14 09:56:47   -30980.962533         0.212779
FIRE:   15 09:57:23   -30980.964478         0.276684
FIRE:   16 09:58:01   -30980.964760         0.274605
FIRE:   17 09:58:55   -30980.965309         0.270859
FIRE:   18 10:00:00   -30980.966096         0.265325
FIRE:   19 10:00:52   -30980.967079         0.257856
FIRE:   20 10:01:57   -30980.968208         0.248424
FIRE:   21 10:02:45   -30980.969427         0.237188
FIRE:   22 10:03:46   -30980.970680         0.224097
FIRE:   23 10:04:41   -30980.972041         0.207581
FIRE:   24 10:05:34   -30980.973444         0.186708
FIRE:   25 10:06:19   -30980.974806         0.161098
FIRE:   26 10:06:59   -30980.976041         0.130344
FIRE:   27 10:07:34   -30980.977102         0.098700
FIRE:   28 10:08:10   -30980.978001         0.121915
FIRE:   29 10:08:46   -30980.978806         0.137312
FIRE:   30 10:09:21   -30980.979585         0.139802
FIRE:   31 10:09:56   -30980.980349         0.126617
FIRE:   32 10:10:33   -30980.981029         0.097255
FIRE:   33 10:11:12   -30980.981497         0.081774
FIRE:   34 10:11:48   -30980.981667         0.091018
FIRE:   35 10:12:24   -30980.981726         0.088751
FIRE:   36 10:13:00   -30980.981837         0.084398
FIRE:   37 10:13:36   -30980.981988         0.078304
FIRE:   38 10:14:11   -30980.982164         0.070960
FIRE:   39 10:14:47   -30980.982347         0.063037
FIRE:   40 10:15:23   -30980.982526         0.055218
FIRE:   41 10:16:00   -30980.982689         0.048029
FIRE:   42 10:16:36   -30980.982850         0.041136
FIRE:   43 10:17:13   -30980.983003         0.036278
FIRE:   44 10:17:49   -30980.983147         0.032846
FIRE:   45 10:18:26   -30980.983275         0.030485
FIRE:   46 10:19:04   -30980.983369         0.024176
