      Step     Time          Energy          fmax
FIRE:    0 16:38:02   -30958.939293         2.178597
FIRE:    1 16:38:59   -30959.251492         2.060715
FIRE:    2 16:39:55   -30959.808978         1.826483
FIRE:    3 16:40:48   -30960.494767         1.577080
FIRE:    4 16:41:43   -30961.164021         1.271997
FIRE:    5 16:42:33   -30961.609510         0.933819
FIRE:    6 16:43:14   -30961.766366         0.784625
FIRE:    7 16:43:56   -30961.772714         0.752317
FIRE:    8 16:44:41   -30961.784153         0.689199
FIRE:    9 16:45:26   -30961.798477         0.598155
FIRE:   10 16:46:08   -30961.813064         0.484222
FIRE:   11 16:46:50   -30961.825493         0.356022
FIRE:   12 16:47:31   -30961.834147         0.226232
FIRE:   13 16:48:13   -30961.838689         0.188864
FIRE:   14 16:48:57   -30961.840142         0.237491
FIRE:   15 16:49:39   -30961.840377         0.233109
FIRE:   16 16:50:21   -30961.840831         0.224457
FIRE:   17 16:51:03   -30961.841477         0.211769
FIRE:   18 16:51:45   -30961.842273         0.195405
FIRE:   19 16:52:28   -30961.843171         0.175868
FIRE:   20 16:53:10   -30961.844118         0.153827
FIRE:   21 16:53:52   -30961.845061         0.130173
FIRE:   22 16:54:34   -30961.846044         0.103619
FIRE:   23 16:55:17   -30961.846998         0.087221
FIRE:   24 16:55:59   -30961.847848         0.084742
FIRE:   25 16:56:41   -30961.848543         0.081324
FIRE:   26 16:57:23   -30961.849093         0.084891
FIRE:   27 16:58:05   -30961.849579         0.101529
FIRE:   28 16:58:50   -30961.850115         0.112709
FIRE:   29 16:59:32   -30961.850775         0.113756
FIRE:   30 17:00:14   -30961.851535         0.101187
FIRE:   31 17:00:56   -30961.852247         0.072538
FIRE:   32 17:01:39   -30961.852717         0.057296
FIRE:   33 17:02:21   -30961.852870         0.061763
FIRE:   34 17:03:03   -30961.852915         0.058401
FIRE:   35 17:03:45   -30961.852999         0.051913
FIRE:   36 17:04:28   -30961.853109         0.047299
FIRE:   37 17:05:10   -30961.853232         0.041997
FIRE:   38 17:05:52   -30961.853352         0.038385
FIRE:   39 17:06:35   -30961.853460         0.035137
FIRE:   40 17:07:17   -30961.853552         0.031648
FIRE:   41 17:08:00   -30961.853637         0.027919
