      Step     Time          Energy          fmax
FIRE:    0 18:15:41   -30943.157038         2.216639
FIRE:    1 18:16:12   -30943.343342         1.883727
FIRE:    2 18:16:42   -30943.620838         1.279357
FIRE:    3 18:17:23   -30943.843437         1.071395
FIRE:    4 18:17:50   -30943.947257         1.216156
FIRE:    5 18:18:27   -30944.034405         1.356479
FIRE:    6 18:19:08   -30944.154266         0.924502
FIRE:    7 18:19:34   -30944.210751         0.821811
FIRE:    8 18:20:10   -30944.216833         0.779631
FIRE:    9 18:20:40   -30944.227751         0.698981
FIRE:   10 18:21:04   -30944.241345         0.586457
FIRE:   11 18:21:35   -30944.255095         0.450334
FIRE:   12 18:22:02   -30944.266755         0.302484
FIRE:   13 18:22:30   -30944.274969         0.242738
FIRE:   14 18:22:56   -30944.279724         0.286304
FIRE:   15 18:23:34   -30944.282327         0.309674
FIRE:   16 18:24:09   -30944.283960         0.294327
FIRE:   17 18:24:44   -30944.285749         0.324783
FIRE:   18 18:25:21   -30944.287971         0.309651
FIRE:   19 18:25:59   -30944.289878         0.241408
FIRE:   20 18:26:37   -30944.290302         0.235603
FIRE:   21 18:27:21   -30944.291105         0.224163
FIRE:   22 18:27:59   -30944.292200         0.207300
FIRE:   23 18:28:41   -30944.293473         0.185444
FIRE:   24 18:29:18   -30944.294799         0.159044
FIRE:   25 18:29:55   -30944.296059         0.128809
FIRE:   26 18:30:21   -30944.297160         0.095716
FIRE:   27 18:30:51   -30944.298127         0.081974
FIRE:   28 18:31:20   -30944.298883         0.080626
FIRE:   29 18:31:55   -30944.299410         0.076783
FIRE:   30 18:32:31   -30944.299758         0.071300
FIRE:   31 18:33:09   -30944.300011         0.098991
FIRE:   32 18:33:36   -30944.300241         0.111302
FIRE:   33 18:34:11   -30944.300502         0.104671
FIRE:   34 18:34:48   -30944.300832         0.079906
FIRE:   35 18:35:25   -30944.301265         0.086617
FIRE:   36 18:36:04   -30944.301837         0.095441
FIRE:   37 18:36:36   -30944.302572         0.080841
FIRE:   38 18:37:14   -30944.303297         0.045532
FIRE:   39 18:37:49   -30944.303453         0.047585
FIRE:   40 18:38:27   -30944.303500         0.045061
FIRE:   41 18:39:05   -30944.303585         0.040126
FIRE:   42 18:39:45   -30944.303689         0.033331
FIRE:   43 18:40:25   -30944.303794         0.025058
