      Step     Time          Energy          fmax
FIRE:    0 06:03:45    -7730.343503         2.776510
FIRE:    1 06:03:53    -7730.448483         2.593528
FIRE:    2 06:04:01    -7730.614089         2.223166
FIRE:    3 06:04:10    -7730.776235         1.672860
FIRE:    4 06:04:18    -7730.885077         1.205584
FIRE:    5 06:04:26    -7730.925663         1.449481
FIRE:    6 06:04:35    -7730.932657         1.375231
FIRE:    7 06:04:43    -7730.945065         1.226515
FIRE:    8 06:04:51    -7730.960014         1.007710
FIRE:    9 06:05:00    -7730.973991         0.729905
FIRE:   10 06:05:08    -7730.983772         0.411532
FIRE:   11 06:05:16    -7730.987535         0.354900
FIRE:   12 06:05:24    -7730.986355         0.504125
FIRE:   13 06:05:33    -7730.986596         0.498358
FIRE:   14 06:05:41    -7730.987067         0.486927
FIRE:   15 06:05:49    -7730.987743         0.470042
FIRE:   16 06:05:57    -7730.988587         0.448018
FIRE:   17 06:06:06    -7730.989560         0.421284
FIRE:   18 06:06:14    -7730.990613         0.390379
FIRE:   19 06:06:22    -7730.991702         0.355968
FIRE:   20 06:06:31    -7730.992896         0.314785
FIRE:   21 06:06:39    -7730.994150         0.266870
FIRE:   22 06:06:47    -7730.995411         0.213191
FIRE:   23 06:06:55    -7730.996646         0.183460
FIRE:   24 06:07:04    -7730.997875         0.241479
FIRE:   25 06:07:13    -7730.999206         0.289336
FIRE:   26 06:07:21    -7731.000817         0.319129
FIRE:   27 06:07:29    -7731.002901         0.323508
FIRE:   28 06:07:37    -7731.005559         0.296318
FIRE:   29 06:07:45    -7731.008672         0.234348
FIRE:   30 06:07:54    -7731.011868         0.141369
FIRE:   31 06:08:02    -7731.014752         0.154894
FIRE:   32 06:08:11    -7731.017412         0.183819
FIRE:   33 06:08:19    -7731.020290         0.158294
FIRE:   34 06:08:27    -7731.023169         0.101936
FIRE:   35 06:08:38    -7731.024849         0.101012
FIRE:   36 06:08:46    -7731.025217         0.123537
FIRE:   37 06:08:54    -7731.025322         0.110062
FIRE:   38 06:09:03    -7731.025487         0.084575
FIRE:   39 06:09:11    -7731.025641         0.049894
FIRE:   40 06:09:19    -7731.025721         0.020152
