      Step     Time          Energy          fmax
FIRE:    0 00:34:05    -7717.042930         4.286489
FIRE:    1 00:35:18    -7717.467484         3.971235
FIRE:    2 00:36:13    -7718.218248         3.244682
FIRE:    3 00:37:13    -7719.049870         2.976426
FIRE:    4 00:38:14    -7719.536674         2.866556
FIRE:    5 00:39:10    -7719.617487         3.330947
FIRE:    6 00:40:06    -7719.681931         3.067279
FIRE:    7 00:41:00    -7719.794681         2.588569
FIRE:    8 00:41:51    -7719.930042         2.243071
FIRE:    9 00:42:42    -7720.062116         2.067700
FIRE:   10 00:43:36    -7720.172395         1.851979
FIRE:   11 00:44:32    -7720.252626         1.594221
FIRE:   12 00:45:30    -7720.305059         1.296496
FIRE:   13 00:46:28    -7720.339944         1.117453
FIRE:   14 00:47:27    -7720.362022         1.297086
FIRE:   15 00:48:25    -7720.378204         1.323418
FIRE:   16 00:49:24    -7720.383270         1.301195
FIRE:   17 00:50:22    -7720.393063         1.256889
FIRE:   18 00:51:19    -7720.406928         1.190803
FIRE:   19 00:52:17    -7720.423934         1.103518
FIRE:   20 00:53:14    -7720.442950         0.995968
FIRE:   21 00:54:11    -7720.462702         0.869772
FIRE:   22 00:55:08    -7720.481867         0.785495
FIRE:   23 00:56:01    -7720.500935         0.733906
FIRE:   24 00:56:55    -7720.518078         0.692199
FIRE:   25 00:57:48    -7720.531694         0.669923
FIRE:   26 00:58:44    -7720.541786         0.670342
FIRE:   27 00:59:36    -7720.551067         0.751903
FIRE:   28 01:00:29    -7720.564323         0.826385
FIRE:   29 01:01:22    -7720.586257         0.776717
FIRE:   30 01:02:15    -7720.618493         0.707726
FIRE:   31 01:03:08    -7720.657172         0.582936
FIRE:   32 01:04:02    -7720.694568         0.545056
FIRE:   33 01:04:56    -7720.727176         0.573095
FIRE:   34 01:05:49    -7720.762206         0.650241
FIRE:   35 01:06:43    -7720.808496         0.578154
FIRE:   36 01:07:37    -7720.859502         0.371622
FIRE:   37 01:08:26    -7720.892145         0.459994
FIRE:   38 01:09:21    -7720.907616         0.434202
FIRE:   39 01:10:14    -7720.916927         0.498023
FIRE:   40 01:11:07    -7720.919407         0.474712
FIRE:   41 01:12:00    -7720.923910         0.430017
FIRE:   42 01:12:53    -7720.929702         0.368330
FIRE:   43 01:13:46    -7720.936066         0.298312
FIRE:   44 01:14:37    -7720.942583         0.294604
FIRE:   45 01:15:27    -7720.949221         0.315035
FIRE:   46 01:16:17    -7720.956209         0.323885
FIRE:   47 01:17:07    -7720.964674         0.321537
FIRE:   48 01:17:57    -7720.975064         0.315793
FIRE:   49 01:18:49    -7720.987687         0.320000
FIRE:   50 01:19:39    -7721.002693         0.340275
FIRE:   51 01:20:28    -7721.020300         0.374613
FIRE:   52 01:21:18    -7721.041381         0.393865
FIRE:   53 01:22:08    -7721.065830         0.366146
FIRE:   54 01:22:54    -7721.089804         0.280329
FIRE:   55 01:23:44    -7721.106686         0.328462
FIRE:   56 01:24:37    -7721.110190         0.402266
FIRE:   57 01:25:30    -7721.112560         0.378569
FIRE:   58 01:26:23    -7721.116712         0.337109
FIRE:   59 01:27:16    -7721.121707         0.284637
FIRE:   60 01:28:09    -7721.126530         0.225912
FIRE:   61 01:28:57    -7721.130367         0.164423
FIRE:   62 01:29:48    -7721.132764         0.098043
FIRE:   63 01:30:35    -7721.133599         0.085344
FIRE:   64 01:31:21    -7721.133631         0.084563
FIRE:   65 01:32:10    -7721.133692         0.083001
FIRE:   66 01:33:00    -7721.133780         0.080794
FIRE:   67 01:33:52    -7721.133887         0.077984
FIRE:   68 01:34:43    -7721.134007         0.074684
FIRE:   69 01:35:34    -7721.134135         0.070996
FIRE:   70 01:36:25    -7721.134265         0.067022
FIRE:   71 01:37:16    -7721.134406         0.062416
FIRE:   72 01:38:07    -7721.134556         0.057261
FIRE:   73 01:39:00    -7721.134715         0.051810
FIRE:   74 01:39:51    -7721.134886         0.046542
FIRE:   75 01:40:42    -7721.135077         0.042013
FIRE:   76 01:41:33    -7721.135294         0.038508
FIRE:   77 01:42:24    -7721.135535         0.035344
FIRE:   78 01:43:15    -7721.135789         0.030921
FIRE:   79 01:44:06    -7721.136032         0.024205
