      Step     Time          Energy          fmax
FIRE:    0 22:37:42    -7742.663281         2.789447
FIRE:    1 22:37:52    -7742.765383         2.624010
FIRE:    2 22:38:00    -7742.930922         2.285233
FIRE:    3 22:38:09    -7743.100702         1.766852
FIRE:    4 22:38:19    -7743.223549         1.088823
FIRE:    5 22:38:32    -7743.277275         1.401196
FIRE:    6 22:38:42    -7743.283760         1.342414
FIRE:    7 22:38:52    -7743.295505         1.220103
FIRE:    8 22:39:02    -7743.310161         1.033744
FIRE:    9 22:39:13    -7743.324690         0.791108
FIRE:   10 22:39:23    -7743.336103         0.507226
FIRE:   11 22:39:33    -7743.342370         0.345315
FIRE:   12 22:39:43    -7743.343556         0.481400
FIRE:   13 22:39:53    -7743.343740         0.476953
FIRE:   14 22:40:03    -7743.344102         0.468123
FIRE:   15 22:40:13    -7743.344626         0.455045
FIRE:   16 22:40:23    -7743.345295         0.437930
FIRE:   17 22:40:33    -7743.346082         0.417067
FIRE:   18 22:40:43    -7743.346962         0.392829
FIRE:   19 22:40:53    -7743.347907         0.365666
FIRE:   20 22:41:03    -7743.348996         0.332880
FIRE:   21 22:41:13    -7743.350217         0.294254
FIRE:   22 22:41:23    -7743.351553         0.250119
FIRE:   23 22:41:33    -7743.352990         0.201720
FIRE:   24 22:41:43    -7743.354537         0.215337
FIRE:   25 22:41:53    -7743.356243         0.249016
FIRE:   26 22:42:03    -7743.358205         0.271371
FIRE:   27 22:42:13    -7743.360540         0.276231
FIRE:   28 22:42:22    -7743.363329         0.258032
FIRE:   29 22:42:32    -7743.366529         0.213725
FIRE:   30 22:42:42    -7743.369936         0.147046
FIRE:   31 22:42:52    -7743.373260         0.146051
FIRE:   32 22:43:02    -7743.376406         0.158435
FIRE:   33 22:43:12    -7743.379542         0.147350
FIRE:   34 22:43:22    -7743.382593         0.100217
FIRE:   35 22:43:32    -7743.384809         0.086761
FIRE:   36 22:43:42    -7743.385561         0.104782
FIRE:   37 22:43:52    -7743.385630         0.095005
FIRE:   38 22:44:02    -7743.385742         0.076450
FIRE:   39 22:44:12    -7743.385856         0.051126
FIRE:   40 22:44:22    -7743.385933         0.024741
