      Step     Time          Energy          fmax
FIRE:    0 03:35:50    -7728.120830         3.394919
FIRE:    1 03:36:08    -7728.305598         3.158888
FIRE:    2 03:36:29    -7728.627283         2.617006
FIRE:    3 03:36:48    -7728.985298         2.045673
FIRE:    4 03:37:07    -7729.252241         2.148585
FIRE:    5 03:37:24    -7729.429824         2.595731
FIRE:    6 03:37:42    -7729.659135         2.622767
FIRE:    7 03:37:59    -7729.908730         1.960400
FIRE:    8 03:38:16    -7729.988581         1.117420
FIRE:    9 03:38:37    -7729.996354         1.080400
FIRE:   10 03:38:54    -7730.010888         1.008813
FIRE:   11 03:39:12    -7730.030348         0.908789
FIRE:   12 03:39:30    -7730.052421         0.790521
FIRE:   13 03:39:49    -7730.074736         0.669370
FIRE:   14 03:40:08    -7730.095286         0.563250
FIRE:   15 03:40:26    -7730.113002         0.482977
FIRE:   16 03:40:45    -7730.128519         0.419308
FIRE:   17 03:41:04    -7730.140381         0.356190
FIRE:   18 03:41:24    -7730.147626         0.323214
FIRE:   19 03:41:43    -7730.150463         0.422081
FIRE:   20 03:42:02    -7730.150998         0.416759
FIRE:   21 03:42:22    -7730.152050         0.406212
FIRE:   22 03:42:41    -7730.153586         0.390774
FIRE:   23 03:43:01    -7730.155562         0.371041
FIRE:   24 03:43:20    -7730.157922         0.347825
FIRE:   25 03:43:39    -7730.160609         0.335488
FIRE:   26 03:43:58    -7730.163570         0.333205
FIRE:   27 03:44:18    -7730.167108         0.331180
FIRE:   28 03:44:37    -7730.171284         0.329600
FIRE:   29 03:44:56    -7730.176178         0.328506
FIRE:   30 03:45:16    -7730.181908         0.327353
FIRE:   31 03:45:36    -7730.188643         0.325582
FIRE:   32 03:45:55    -7730.196624         0.323388
FIRE:   33 03:46:14    -7730.206179         0.319838
FIRE:   34 03:46:34    -7730.217717         0.311794
FIRE:   35 03:46:53    -7730.231643         0.292940
FIRE:   36 03:47:13    -7730.247790         0.249733
FIRE:   37 03:47:32    -7730.264630         0.199524
FIRE:   38 03:47:50    -7730.278395         0.150301
FIRE:   39 03:48:08    -7730.284471         0.126440
FIRE:   40 03:48:28    -7730.281068         0.261441
FIRE:   41 03:48:48    -7730.281668         0.248701
FIRE:   42 03:49:07    -7730.282759         0.225012
FIRE:   43 03:49:26    -7730.284170         0.193853
FIRE:   44 03:49:44    -7730.285737         0.159861
FIRE:   45 03:50:02    -7730.287343         0.157258
FIRE:   46 03:50:20    -7730.288891         0.139355
FIRE:   47 03:50:38    -7730.290260         0.107034
FIRE:   48 03:50:55    -7730.291406         0.071214
FIRE:   49 03:51:14    -7730.292126         0.066250
FIRE:   50 03:51:32    -7730.292370         0.069538
FIRE:   51 03:51:50    -7730.292388         0.066703
FIRE:   52 03:52:08    -7730.292421         0.061369
FIRE:   53 03:52:26    -7730.292466         0.054238
FIRE:   54 03:52:43    -7730.292517         0.046391
FIRE:   55 03:53:01    -7730.292571         0.039223
FIRE:   56 03:53:20    -7730.292628         0.037715
FIRE:   57 03:53:39    -7730.292687         0.040649
FIRE:   58 03:53:58    -7730.292757         0.041725
FIRE:   59 03:54:17    -7730.292839         0.039802
FIRE:   60 03:54:36    -7730.292934         0.034859
FIRE:   61 03:54:55    -7730.293035         0.029737
