      Step     Time          Energy          fmax
FIRE:    0 05:30:05    -7722.281855         3.345985
FIRE:    1 05:30:23    -7722.463707         3.132550
FIRE:    2 05:30:41    -7722.782946         2.621229
FIRE:    3 05:31:00    -7723.143069         2.029709
FIRE:    4 05:31:19    -7723.419724         2.076433
FIRE:    5 05:31:36    -7723.599435         2.496810
FIRE:    6 05:31:55    -7723.812418         2.570716
FIRE:    7 05:32:13    -7724.046489         1.942751
FIRE:    8 05:32:31    -7724.123999         1.094353
FIRE:    9 05:32:49    -7724.131098         1.061684
FIRE:   10 05:33:08    -7724.144463         0.997484
FIRE:   11 05:33:26    -7724.162547         0.904039
FIRE:   12 05:33:44    -7724.183298         0.786852
FIRE:   13 05:34:03    -7724.204485         0.656802
FIRE:   14 05:34:21    -7724.224092         0.532424
FIRE:   15 05:34:41    -7724.240706         0.430118
FIRE:   16 05:35:00    -7724.254814         0.343180
FIRE:   17 05:35:20    -7724.264639         0.271402
FIRE:   18 05:35:40    -7724.268681         0.257025
FIRE:   19 05:36:00    -7724.268885         0.253051
FIRE:   20 05:36:19    -7724.269288         0.245333
FIRE:   21 05:36:39    -7724.269879         0.234371
FIRE:   22 05:36:59    -7724.270643         0.233523
FIRE:   23 05:37:19    -7724.271564         0.232827
FIRE:   24 05:37:39    -7724.272626         0.232041
FIRE:   25 05:37:59    -7724.273813         0.231197
FIRE:   26 05:38:19    -7724.275258         0.230249
FIRE:   27 05:38:41    -7724.277004         0.229298
FIRE:   28 05:39:01    -7724.279107         0.228570
FIRE:   29 05:39:21    -7724.281644         0.228465
FIRE:   30 05:39:41    -7724.284719         0.229452
FIRE:   31 05:40:01    -7724.288467         0.231758
FIRE:   32 05:40:21    -7724.293052         0.234440
FIRE:   33 05:40:41    -7724.298646         0.234443
FIRE:   34 05:41:01    -7724.305417         0.230066
FIRE:   35 05:41:21    -7724.313642         0.224324
FIRE:   36 05:41:41    -7724.323880         0.223269
FIRE:   37 05:42:01    -7724.336421         0.213963
FIRE:   38 05:42:21    -7724.350661         0.188439
FIRE:   39 05:42:41    -7724.365038         0.161395
FIRE:   40 05:43:01    -7724.376646         0.123543
FIRE:   41 05:43:20    -7724.381483         0.114711
FIRE:   42 05:43:39    -7724.381724         0.114606
FIRE:   43 05:43:56    -7724.382172         0.114869
FIRE:   44 05:44:15    -7724.382772         0.113803
FIRE:   45 05:44:33    -7724.383458         0.109906
FIRE:   46 05:44:52    -7724.384168         0.101954
FIRE:   47 05:45:10    -7724.384850         0.090010
FIRE:   48 05:45:30    -7724.385461         0.076481
FIRE:   49 05:45:49    -7724.386027         0.064768
FIRE:   50 05:46:09    -7724.386523         0.057364
FIRE:   51 05:46:28    -7724.386945         0.047614
FIRE:   52 05:46:48    -7724.387259         0.035158
FIRE:   53 05:47:07    -7724.387429         0.038026
FIRE:   54 05:47:27    -7724.387454         0.043022
FIRE:   55 05:47:46    -7724.387472         0.042431
FIRE:   56 05:48:06    -7724.387506         0.041248
FIRE:   57 05:48:25    -7724.387554         0.039490
FIRE:   58 05:48:47    -7724.387611         0.037130
FIRE:   59 05:49:07    -7724.387674         0.034153
FIRE:   60 05:49:26    -7724.387739         0.030563
FIRE:   61 05:49:46    -7724.387803         0.026384
