      Step     Time          Energy          fmax
FIRE:    0 01:19:56   -30939.972674         1.927850
FIRE:    1 01:35:11   -30940.068323         1.760666
FIRE:    2 01:41:55   -30940.220660         1.447941
FIRE:    3 01:49:10   -30940.374981         1.059228
FIRE:    4 01:55:33   -30940.482469         0.742679
FIRE:    5 02:03:41   -30940.520025         0.866915
FIRE:    6 02:09:43   -30940.525796         0.837584
FIRE:    7 02:16:58   -30940.536332         0.780566
FIRE:    8 02:24:59   -30940.549866         0.700762
FIRE:    9 02:32:40   -30940.564295         0.604646
FIRE:   10 02:39:55   -30940.577686         0.501763
FIRE:   11 02:46:08   -30940.588774         0.407367
FIRE:   12 02:52:21   -30940.597271         0.338389
FIRE:   13 02:58:32   -30940.604322         0.299389
FIRE:   14 03:04:46   -30940.610396         0.282645
FIRE:   15 03:10:41   -30940.615721         0.309260
FIRE:   16 03:16:34   -30940.619621         0.317719
FIRE:   17 03:24:32   -30940.621113         0.291469
FIRE:   18 03:32:22   -30940.621702         0.285398
FIRE:   19 03:40:20   -30940.622817         0.273290
FIRE:   20 03:48:17   -30940.624342         0.255278
FIRE:   21 03:56:16   -30940.626118         0.231659
FIRE:   22 04:04:09   -30940.627967         0.202976
FIRE:   23 04:12:10   -30940.629713         0.170049
FIRE:   24 04:20:03   -30940.631201         0.133969
FIRE:   25 04:27:55   -30940.632416         0.092069
FIRE:   26 04:35:54   -30940.633166         0.053339
FIRE:   27 04:43:46   -30940.633357         0.080520
FIRE:   28 04:51:47   -30940.633375         0.079906
FIRE:   29 04:59:39   -30940.633409         0.078688
FIRE:   30 05:07:40   -30940.633460         0.076886
FIRE:   31 05:15:33   -30940.633523         0.074530
FIRE:   32 05:23:32   -30940.633597         0.071658
FIRE:   33 05:31:24   -30940.633679         0.068314
FIRE:   34 05:39:22   -30940.633765         0.064551
FIRE:   35 05:47:11   -30940.633863         0.059967
FIRE:   36 05:55:09   -30940.633970         0.054485
FIRE:   37 06:03:02   -30940.634085         0.048052
FIRE:   38 06:11:04   -30940.634204         0.040676
FIRE:   39 06:17:41   -30940.634327         0.033156
FIRE:   40 06:24:22   -30940.634459         0.037263
FIRE:   41 06:31:05   -30940.634604         0.040265
FIRE:   42 06:38:59   -30940.634768         0.040843
FIRE:   43 06:47:01   -30940.634952         0.039626
FIRE:   44 06:54:54   -30940.635152         0.035366
FIRE:   45 07:02:55   -30940.635357         0.027777
