      Step     Time          Energy          fmax
FIRE:    0 18:21:31   -30980.295496         1.873502
FIRE:    1 18:34:33   -30980.386295         1.726557
FIRE:    2 18:41:20   -30980.533653         1.442448
FIRE:    3 18:48:47   -30980.687745         1.078030
FIRE:    4 18:55:01   -30980.802345         0.762730
FIRE:    5 19:01:20   -30980.851948         0.843787
FIRE:    6 19:07:52   -30980.860341         1.056092
FIRE:    7 19:14:14   -30980.867244         1.018155
FIRE:    8 19:20:32   -30980.880012         0.943659
FIRE:    9 19:26:37   -30980.896740         0.835653
FIRE:   10 19:32:38   -30980.914989         0.701215
FIRE:   11 19:40:16   -30980.932270         0.549873
FIRE:   12 19:49:28   -30980.946511         0.395300
FIRE:   13 19:57:06   -30980.956518         0.260383
FIRE:   14 20:06:13   -30980.962533         0.212779
FIRE:   15 20:14:26   -30980.964478         0.276685
FIRE:   16 20:22:56   -30980.964760         0.274607
FIRE:   17 20:35:48   -30980.965309         0.270946
FIRE:   18 20:50:44   -30980.966096         0.265283
FIRE:   19 21:03:11   -30980.967079         0.257749
FIRE:   20 21:18:52   -30980.968208         0.248346
FIRE:   21 21:29:48   -30980.969427         0.237188
FIRE:   22 21:45:01   -30980.970680         0.223984
FIRE:   23 21:57:08   -30980.972041         0.207460
FIRE:   24 22:09:09   -30980.973444         0.186800
FIRE:   25 22:19:22   -30980.974805         0.161119
FIRE:   26 22:28:30   -30980.976041         0.130371
FIRE:   27 22:36:27   -30980.977102         0.098686
FIRE:   28 22:44:29   -30980.978001         0.121902
FIRE:   29 22:52:18   -30980.978806         0.137299
FIRE:   30 23:00:01   -30980.979585         0.139790
FIRE:   31 23:07:59   -30980.980350         0.126607
FIRE:   32 23:16:11   -30980.981029         0.097254
FIRE:   33 23:25:16   -30980.981497         0.081774
FIRE:   34 23:33:18   -30980.981667         0.091019
FIRE:   35 23:41:27   -30980.981726         0.088752
FIRE:   36 23:49:32   -30980.981837         0.084398
FIRE:   37 23:57:40   -30980.981988         0.078304
FIRE:   38 00:05:42   -30980.982164         0.070959
FIRE:   39 00:13:49   -30980.982347         0.063034
FIRE:   40 00:21:52   -30980.982526         0.055215
FIRE:   41 00:30:02   -30980.982689         0.048026
FIRE:   42 00:38:18   -30980.982850         0.041134
FIRE:   43 00:46:29   -30980.983003         0.036283
FIRE:   44 00:54:48   -30980.983147         0.032849
FIRE:   45 01:03:01   -30980.983275         0.030480
FIRE:   46 01:11:19   -30980.983369         0.024171
