      Step     Time          Energy          fmax
FIRE:    0 07:08:20   -30973.148198         1.859693
FIRE:    1 07:20:48   -30973.237093         1.710985
FIRE:    2 07:27:37   -30973.381550         1.427916
FIRE:    3 07:34:16   -30973.533307         1.071199
FIRE:    4 07:40:13   -30973.646324         0.751993
FIRE:    5 07:48:17   -30973.695376         0.831003
FIRE:    6 07:54:44   -30973.703896         1.046414
FIRE:    7 08:01:05   -30973.710671         1.008416
FIRE:    8 08:07:17   -30973.723197         0.934449
FIRE:    9 08:13:34   -30973.739613         0.828801
FIRE:   10 08:19:34   -30973.757564         0.698327
FIRE:   11 08:26:09   -30973.774642         0.552228
FIRE:   12 08:33:46   -30973.788844         0.403715
FIRE:   13 08:41:22   -30973.798975         0.272402
